"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Location 96","","Swamiji’s book, The Legend of the Goddess,"
"Highlight (Yellow)","Location 200","","Haath aao toh butta, haath na aao toh khuda ho… If anyone can hold you, you are merely an idol and if they can’t reach you, you are God, is a Sufi saying I’ve heard from Swamiji a few times in his discourses."
"Highlight (Yellow)","Location 222","","Always to Her auspicious feet first, as I had heard Swamiji say time and again that without Her blessings one couldn’t hope to find Bhagavān."
"Highlight (Yellow)","Location 343","","The woods are lovely, dark, and deep But I have promises to keep, And miles to go before I sleep,"
"Highlight (Yellow)","Location 463","","If a sannyasi is pure at heart and has also done sadhana, then there is nothing more one can have or acquire, to help and benefit other people."
"Highlight (Yellow)","Location 471","","You would have to return for the fulfillment of that wish, because a blessing of a saint is attached to it. Just because of that one desire and fulfilment of that word, you may have to come back, because nature always operates on its own time scale. Which is why one should be very careful what they wish for and ask for from anyone, especially Bhagavān."
"Highlight (Yellow)","Location 474","","You should think hard before you ask for things, because that may be the only reason why most of you are on this planet earth today. It’s because of the things you wanted in your previous lifetimes and you’re getting some of those fulfilled now."
"Highlight (Yellow)","Location 478","","the train will go at its own pace. Similarly, everybody here, each one of us, are all aboard the train of nature and it will move at its own pace."
"Highlight (Yellow)","Location 480","","It has no prejudice. Whatever life gives you, if you accept it gracefully, gratefully, happily and even willingly, then you make your own life easier. However, if you resist and battle with yourself and life, nothing will come of it, except suffering."
"Highlight (Yellow)","Location 500","","this is how Bhagavān must be, ever kind, ever loving and ever filled with laughter and kind mischief."
"Highlight (Yellow)","Location 526","","simple: one round of Guru-mantra and Ramcharitmanas daily."
"Highlight (Yellow)","Location 531","","Beginning with the Arti, followed by the Srividya stuti, hymn, finishing with a round of the Guru mantra. This simple pooja routine of twenty minutes in the next seven years would grow to two hours. But of course, back then it was inconceivable to me."
"Highlight (Yellow)","Location 546","","when I had done Devi Maa’s stuti, one of Her companion energies from a retinue of sixty-four came"
"Highlight (Yellow)","Location 579","","chaupai, couplet,"
